23.75,22.60
25.52,22.50
28.02,22.50
30.35,22.46
32.43,22.45
34.23,22.48
35.99,22.49
37.58,22.50
39.04,22.49
40.42,22.49
41.70,22.52
43.00,22.52
44.25,22.51
45.42,22.49
46.50,22.46
47.64,22.43
48.74,22.37
49.82,22.43
50.77,22.35
51.76,22.39
52.67,22.42
53.67,22.47
54.57,22.44
55.43,22.48
56.36,22.51
57.14,22.53
57.90,22.59
58.56,22.62
59.44,48.08
60.07,80.09
60.07,109.56
60.08,135.44
59.90,159.11
60.06,180.57
60.11,199.29
60.06,216.35
59.93,231.21
60.11,240.29
59.95,242.69
59.98,242.01
59.87,240.54
60.12,239.81
59.95,239.42
60.09,239.44
59.98,239.99
59.94,240.10
60.00,239.90
59.99,239.87
59.98,239.91
59.99,237.52
60.05,222.66
59.97,208.92
59.98,201.28
60.01,196.23
60.02,197.52
60.01,200.28
60.00,200.99
59.98,208.40
60.04,224.24
59.90,236.72
60.02,241.72
60.08,242.05
60.04,241.16
59.89,240.22
59.80,236.87
60.10,236.96
60.07,238.43
60.00,239.55
59.96,240.20
59.99,240.36
60.04,240.19
60.01,239.87
59.99,239.91
59.97,240.02
60.01,240.19
59.96,240.23
60.01,240.25
60.04,240.04
59.99,240.02
59.95,240.15
59.99,240.10
60.04,240.05
59.99,240.08
59.99,240.13
60.00,240.11
59.98,239.92
60.00,240.08
60.06,240.14
60.00,240.18
60.00,240.17
59.98,240.03
60.00,240.05
59.96,240.01
60.00,240.20
60.02,239.94
60.00,240.08
60.06,240.17
59.99,240.20
60.00,240.03
