49.47,239.94
50.72,239.93
52.31,239.96
53.68,240.06
55.01,240.04
56.14,240.01
57.21,240.06
58.06,239.98
58.98,240.43
59.81,240.64
60.17,239.39
60.05,238.99
59.98,239.77
60.01,240.56
60.06,240.51
60.04,240.16
60.02,239.75
60.00,239.82
60.02,239.90
59.99,240.05
59.98,240.09
60.01,240.22
60.01,240.18
59.89,240.12
60.12,240.10
59.96,240.01
59.98,239.47
59.97,239.45
60.01,239.77
60.12,240.23
60.01,240.53
59.99,240.21
59.99,239.87
60.02,239.86
60.01,239.96
60.00,240.35
60.00,239.80
59.99,239.78
60.00,240.17
60.00,239.93
60.01,240.16
59.88,239.84
60.04,239.43
60.01,239.79
60.00,240.34
60.00,240.54
59.95,240.20
60.03,239.83
60.02,239.68
59.99,239.81
60.01,239.84
60.01,239.98
60.01,240.07
60.01,240.18
60.01,240.20
59.98,240.25
60.00,239.93
60.00,239.83
60.00,239.83
60.01,239.85
60.01,240.12
60.01,240.10
60.00,240.23
60.05,240.22
59.85,239.84
60.06,239.56
60.05,239.75
60.01,239.89
59.97,240.03
59.98,240.07
60.00,240.07
60.02,240.19
59.99,240.03
59.97,239.89
60.00,239.79
59.99,239.72
59.99,239.82
60.00,240.17
59.98,240.17
60.00,240.21
60.00,240.14
60.01,239.85
60.02,239.67
60.02,239.79
59.96,239.93
60.01,240.11
60.01,240.00
59.88,238.46
60.02,238.85
59.99,238.66
59.92,239.45
60.02,240.37
60.01,239.43
59.83,239.55
60.02,240.85
60.00,239.60
59.92,239.39
59.97,240.63
60.08,240.54
59.98,239.03
60.15,239.93
60.03,240.62
59.82,239.78
60.16,240.31
60.06,240.90
59.98,239.65
59.70,239.20
60.00,240.57
60.16,240.18
59.98,239.30
59.93,240.24
60.09,240.55
60.05,239.09
59.96,239.88
60.05,240.93
59.99,239.46
60.11,239.47
60.31,240.24
59.70,239.98
59.68,239.90
59.97,239.81
60.04,239.89
59.72,240.20
59.85,240.22
60.12,240.00
60.46,239.95
59.86,240.20
59.77,239.84
59.83,239.86
60.14,239.89
60.15,240.20
59.75,240.24
59.89,239.89
60.05,239.75
60.40,239.87
59.84,239.79
59.84,239.69
59.88,239.65
60.17,239.79
60.00,240.16
59.81,240.22
60.03,239.87
60.13,239.83
60.31,240.24
59.83,240.48
59.79,240.35
60.03,239.53
60.00,239.75
59.87,239.80
60.11,239.79
59.74,240.42
60.16,239.83
60.00,240.00
60.00,240.23
60.03,239.97
59.96,240.38
60.10,240.18
59.86,240.14
59.84,239.87
60.12,239.84
59.83,240.17
60.02,239.87
60.14,239.89
59.90,239.86
60.01,239.70
60.41,240.22
59.89,240.02
59.81,240.15
60.01,239.40
59.82,239.88
60.15,239.50
59.76,240.43
60.16,239.80
59.93,240.39
60.13,239.88
59.83,240.59
60.13,240.18
59.64,240.32
60.04,239.88
59.88,239.84
59.94,239.83
60.03,240.04
60.04,239.82
60.27,239.91
60.16,240.18
59.74,240.21
59.93,239.84
59.91,239.49
60.00,239.90
60.00,239.44
59.93,240.24
59.94,239.58
60.35,240.51
59.80,239.84
60.15,240.60
59.83,240.04
59.86,240.55
59.99,239.80
60.03,240.25
60.06,239.82
59.91,240.18
60.04,239.84
60.27,239.88
60.19,240.29
59.71,240.19
59.94,239.84
59.94,239.70
59.84,239.83
60.06,239.82
59.87,240.02
60.19,239.89
60.03,240.19
60.01,239.99
59.99,240.27
60.10,240.14
59.71,240.21
60.28,239.81
59.75,240.19
60.17,239.52
59.87,240.21
59.99,239.56
60.45,240.40
59.93,240.50
59.77,239.90
60.05,239.87
59.90,239.40
60.01,239.84
59.90,239.53
59.93,240.19
60.02,239.91
60.03,240.06
60.05,240.23
59.85,240.21
60.15,240.46
59.63,240.10
60.11,240.25
59.92,239.56
60.00,240.00
60.08,239.59
59.94,240.10
60.04,240.03
60.26,228.84
59.52,213.00
58.70,199.50
57.96,187.18
