60.11,240.04
60.00,240.21
59.95,239.82
59.99,238.75
59.98,239.46
59.98,240.53
60.03,240.78
60.01,240.49
59.98,240.21
60.01,239.89
59.99,239.95
59.99,239.89
60.00,240.03
60.03,239.99
60.00,240.12
60.00,239.95
59.99,239.87
59.99,239.82
60.01,239.77
60.00,239.73
59.99,239.97
60.01,239.99
59.99,239.90
60.01,240.18
59.99,240.35
60.00,240.20
60.01,239.94
59.97,239.82
59.99,239.85
60.02,239.87
60.01,239.84
60.01,239.85
59.98,240.30
60.03,240.16
60.01,239.82
59.99,239.93
60.00,240.31
60.00,239.89
60.01,240.03
59.97,240.22
59.99,239.94
60.02,239.90
60.01,239.89
60.01,239.93
59.99,240.15
59.99,240.17
60.01,240.18
60.02,240.19
59.97,239.92
59.98,239.92
60.01,239.88
60.01,239.88
60.01,239.98
59.99,239.93
59.99,239.98
60.01,239.89
60.00,239.90
59.95,240.22
60.00,240.26
59.99,240.44
59.99,240.32
60.01,240.19
60.01,239.92
60.00,239.95
59.99,239.97
60.01,239.95
59.99,239.87
60.02,239.93
60.04,240.03
59.98,239.92
60.00,239.90
59.97,240.00
60.01,240.18
60.03,240.10
60.01,239.89
59.99,239.84
59.98,239.83
59.99,240.09
60.14,239.91
59.93,239.93
59.98,239.98
60.03,239.90
60.00,239.87
60.00,239.90
60.00,240.26
60.00,240.25
59.97,239.92
60.02,239.95
60.00,239.97
60.02,239.93
59.99,240.08
59.99,239.87
60.04,239.85
59.92,239.86
60.00,240.18
60.04,240.24
59.98,240.04
59.94,239.92
60.00,239.97
60.02,239.93
60.00,239.91
59.98,239.90
60.02,239.88
60.01,239.90
59.95,240.08
60.03,240.22
60.04,240.32
59.73,239.06
59.89,237.91
60.16,238.57
60.00,240.12
59.96,240.57
60.00,240.60
59.99,239.52
59.99,238.96
60.00,240.19
60.00,239.92
60.01,239.53
60.00,240.18
60.00,240.67
60.04,239.95
59.97,239.12
59.99,239.42
60.00,239.73
60.01,240.69
60.00,241.31
59.85,240.61
60.05,240.09
60.11,239.82
59.87,240.13
59.85,239.84
60.15,239.59
59.89,239.95
60.15,240.40
59.78,240.33
60.16,239.87
59.95,239.53
59.99,239.84
60.06,239.90
60.09,240.06
59.88,239.91
60.14,239.48
60.00,239.15
59.94,239.58
59.68,241.01
59.88,240.64
60.11,240.22
60.14,240.23
59.92,240.26
60.02,240.26
60.02,239.39
60.08,238.76
60.00,239.17
59.99,240.23
59.96,240.65
60.13,240.60
59.97,239.50
59.91,239.22
60.03,239.53
60.07,239.95
59.99,241.29
60.34,241.38
59.91,240.41
59.76,239.85
60.01,239.78
60.17,239.79
59.83,240.08
59.88,239.53
60.17,239.86
59.97,239.82
59.82,239.70
59.99,239.79
60.25,239.89
59.99,240.15
59.91,240.22
60.01,240.00
59.98,238.92
59.94,239.52
59.97,240.14
59.90,241.09
60.13,241.02
59.79,239.89
60.06,239.69
60.19,239.89
59.97,240.19
60.07,239.93
59.88,239.61
60.16,239.90
60.22,240.07
59.74,240.39
59.92,240.25
59.90,239.98
60.00,239.82
60.17,239.65
59.85,240.18
59.97,240.04
60.11,239.11
59.96,239.84
59.94,240.28
59.85,240.27
59.88,239.89
60.20,240.22
60.01,240.64
60.01,239.48
59.92,239.85
59.99,240.28
60.21,240.49
60.13,240.24
59.76,240.09
59.86,240.20
60.09,239.99
60.06,239.90
59.82,239.35
60.15,239.86
59.86,240.28
59.95,240.26
60.28,239.86
59.78,239.86
59.89,239.76
60.15,239.65
59.82,239.48
59.95,239.83
60.17,240.26
59.92,240.59
59.98,240.00
60.05,239.48
60.01,239.90
60.02,240.20
59.86,239.91
60.03,240.18
60.34,240.43
59.93,240.26
59.70,240.24
60.07,240.13
59.85,240.11
60.13,239.16
59.90,239.97
60.08,240.12
60.13,239.80
59.75,239.69
60.04,240.41
59.83,240.47
60.03,239.64
60.23,239.92
59.86,240.24
59.98,240.27
60.04,239.06
60.06,239.35
60.03,239.38
60.01,239.61
60.00,240.52
59.93,240.86
60.00,240.70
60.11,240.19
59.99,239.92
59.97,240.07
60.08,240.15
59.90,240.22
60.02,239.16
60.01,238.86
59.94,239.68
59.86,240.32
60.18,240.21
60.07,240.88
59.78,241.08
60.28,240.60
60.19,239.93
59.73,239.72
59.98,239.86
59.90,240.12
59.92,239.26
59.97,240.04
60.00,240.35
60.06,239.53
59.88,239.19
59.97,240.16
60.20,240.59
