21.92,21.53
23.24,21.53
25.71,21.48
28.10,21.44
30.33,21.43
32.35,21.44
34.01,21.46
35.66,21.47
37.20,21.54
38.65,21.56
40.04,21.59
41.38,21.66
42.59,21.72
43.85,21.67
44.95,21.70
46.08,21.66
47.15,21.60
48.17,21.59
49.28,21.55
50.32,21.52
51.26,21.53
52.25,21.58
53.11,21.63
54.06,21.75
54.96,21.82
55.80,21.84
56.68,21.88
57.44,21.93
58.25,21.93
59.01,33.48
59.76,66.64
60.11,97.28
60.13,124.53
60.02,149.28
60.02,171.84
59.99,191.65
59.98,209.81
59.97,225.53
60.02,238.03
60.03,242.30
59.97,242.32
59.94,240.95
60.04,239.45
60.02,238.32
60.10,239.36
59.83,240.49
59.98,240.54
60.11,240.57
60.00,240.11
59.92,239.77
60.10,239.59
60.01,240.25
60.00,240.56
60.02,239.86
59.94,239.85
59.90,239.61
60.03,239.75
60.06,239.91
59.99,240.08
60.02,240.15
60.13,240.05
59.90,240.08
60.00,240.00
60.11,240.16
59.94,240.04
59.94,239.95
60.00,239.89
59.99,240.06
60.00,240.11
59.88,240.17
60.14,240.27
60.03,240.19
59.99,238.46
59.75,239.08
59.99,239.85
60.11,239.27
60.05,239.15
59.99,239.77
60.10,240.07
60.13,240.15
59.93,240.10
59.80,240.28
60.06,240.64
59.96,240.31
59.93,239.96
60.15,239.16
60.02,238.81
60.11,239.50
60.13,239.90
59.96,240.06
59.82,239.96
59.84,240.81
60.11,241.35
59.99,240.64
59.98,240.26
60.28,238.93
59.88,239.83
59.95,240.12
59.90,240.40
60.47,241.37
59.83,240.99
59.96,240.29
60.11,240.03
60.13,239.93
