Sample,X,Y,Z
176,1.0750,0.1050,-0.0496
177,0.9861,-0.1289,0.0120
178,1.0591,0.0117,0.1396
179,1.0535,0.0042,-0.0815
180,1.0054,-0.1082,-0.0142
181,1.1021,0.1326,0.1184
182,0.9832,-0.0762,-0.0674
183,1.0454,-0.0818,0.0298
184,1.0652,0.0901,0.0366
185,0.9478,-0.1641,-0.0552
186,1.0857,0.1626,0.0547
187,0.9731,0.0017,-0.0332
188,0.9409,-0.1392,-0.0471
189,1.1528,0.0906,0.0488
190,0.9380,-0.1370,-0.1074
191,1.1382,-0.1121,0.1079
192,1.1072,0.2368,-0.0681
193,0.8716,-0.1870,-0.0713
194,1.1157,0.0498,0.0444
195,0.9839,-0.0574,0.0046
196,0.9285,-0.0486,-0.0720
197,1.1650,0.0989,0.0840
198,0.9233,0.1091,-0.0972
199,1.0144,-0.1189,0.1074
200,0.9829,0.1975,-0.0029
201,0.9604,-0.1567,-0.0269
202,1.0173,0.0198,0.1001
203,1.0698,0.0354,-0.1147
204,1.0271,-0.0378,0.0591
205,1.1196,0.0745,0.0725
206,0.9285,-0.0464,-0.0479
207,1.0886,-0.1038,-0.0273
208,1.1372,0.0193,0.0703
209,0.9939,0.0125,0.0115
210,1.0554,0.0884,0.0247
211,1.0015,-0.0508,0.0098
212,0.9302,-0.0098,-0.0127
213,1.0369,-0.0732,0.0420
214,1.0093,0.0828,-0.0220
215,1.0818,-0.0378,0.0342
216,1.0239,0.0356,-0.0310
217,1.0942,0.0669,0.0298
218,1.0037,-0.0581,0.0613
219,1.0007,-0.0217,-0.0679
220,1.0125,-0.0593,-0.0259
221,1.0125,-0.0703,0.0037
222,0.9937,0.0820,-0.0667
223,1.0164,-0.0618,0.0337
224,1.0264,-0.0461,0.0017
225,1.0083,0.0413,-0.0613
226,1.0056,-0.0090,0.0037
227,1.0640,0.0198,0.1028
228,1.0396,0.0930,0.0005
229,0.9644,-0.0427,-0.0100
230,1.0864,0.0442,0.0610
231,0.9631,-0.0850,0.0103
232,0.9919,0.0146,-0.0894
233,1.0298,0.0396,0.0745
234,1.0249,-0.0767,0.0176
235,0.9548,-0.0500,-0.0332
236,1.0496,0.0386,0.0386
237,0.9734,-0.0730,-0.0134
238,1.0483,0.0559,0.0620
239,1.0142,0.0442,0.0596
240,0.9995,0.0198,-0.0049
241,1.0251,-0.0581,0.0266
242,1.0005,-0.0149,0.0640
243,0.9868,-0.0183,-0.0654
244,1.1296,0.0195,0.0039
245,1.0454,0.0288,0.0312
246,0.9995,-0.0002,-0.0037
247,1.0942,-0.1001,0.0903
248,0.9695,0.0886,-0.0505
249,0.9919,-0.1118,0.0518
250,1.0396,0.0552,-0.0181
251,1.0144,0.0247,-0.0322
252,0.9558,-0.0493,0.0789
253,1.0476,0.0847,0.0078
254,0.9634,0.0164,0.0588
255,0.9666,-0.0825,-0.0107
256,1.0503,0.0007,0.0305
257,0.9956,-0.0015,0.0176
258,0.9880,-0.0896,-0.0312
259,1.0808,0.0347,0.0215
260,0.9741,0.0276,-0.0168
261,1.0774,-0.1614,0.0146
262,1.1411,0.1240,0.0190
263,1.0281,-0.0020,-0.0352
264,1.0972,0.0078,0.0903
265,1.0640,0.1338,0.0112
266,0.8833,-0.1475,-0.0066
267,1.0437,-0.0256,0.0518
268,0.9761,0.0574,-0.0449
269,0.9146,-0.0869,-0.1206
270,1.1040,0.0430,0.1104
271,1.0669,0.0291,-0.0078
272,0.9285,-0.0430,-0.0137
273,1.1372,0.0173,0.1436
274,1.0181,-0.1313,-0.0032
275,0.9675,-0.0098,-0.1250
276,1.1150,0.0122,0.0552
277,1.0122,0.0261,-0.0044
278,0.9500,0.1018,-0.0659
279,0.9648,-0.0776,0.0469
280,1.0503,-0.0710,0.0051
281,1.0513,0.0818,0.0266
282,1.0154,0.0620,0.0586
283,1.0562,0.0256,0.0088
284,0.9773,-0.0559,0.0188
285,0.9458,-0.0569,-0.0850
286,1.0913,-0.1016,0.0054
287,1.0876,0.0310,0.0615
288,1.0544,0.0249,-0.0540
289,1.0562,0.0056,0.0232
290,1.0320,0.0627,0.0417
291,0.9138,-0.1262,-0.0569
292,1.0544,-0.1038,0.0410
293,1.0620,0.0623,0.0178
294,0.9487,0.0134,-0.0930
295,1.1021,0.0789,0.0459
296,0.9624,0.0471,-0.0457
297,0.9246,-0.1350,0.0273
298,1.0493,-0.0781,0.0269
299,0.9958,-0.0479,-0.0681
300,1.0010,-0.0540,-0.0437
301,1.0620,-0.0054,-0.0032
302,1.0308,-0.0129,-0.0786
303,0.9800,-0.0039,-0.0344
304,1.0708,-0.0308,0.0723
305,0.9927,-0.0327,0.0430
306,0.9937,-0.0044,-0.0435
307,1.0017,0.0732,-0.0103
308,1.0698,-0.0398,0.0498
309,0.9868,0.0493,-0.0520
310,1.0288,-0.0825,0.0225
311,1.0151,0.0022,0.0374
312,1.0378,-0.0117,-0.1294
313,1.0610,-0.0884,0.1079
314,1.0964,0.0996,0.0105
315,0.9058,0.0149,-0.0745
316,1.0779,-0.0872,0.0476
317,0.9595,-0.0120,0.0127
318,1.0315,-0.0833,-0.0459
319,1.0054,0.1130,0.1038
320,0.9849,0.0203,-0.0835
321,1.0115,-0.1335,-0.0317
322,1.0984,0.2397,0.1189
323,0.9771,-0.0879,0.0562
324,1.0376,-0.0598,0.0088
325,1.0164,0.1055,-0.0486
326,0.9380,-0.2683,0.0735
327,1.0796,0.1562,-0.1399
328,1.0181,0.0295,0.0322
329,0.9468,-0.1453,-0.0061
330,1.1177,0.0664,0.0759
331,0.9939,-0.0483,-0.0029
332,0.9634,-0.0540,-0.0349
333,1.2000,0.1221,0.1382
334,0.8943,0.0024,-0.0959
335,1.0291,-0.0383,0.0408
336,1.0779,0.0247,0.0500
337,0.8882,-0.0151,-0.1125
338,1.0691,-0.0525,0.0701
339,1.0984,0.0696,0.0029
340,0.9373,-0.0471,-0.1057
341,1.0935,-0.0527,0.1316
342,1.0076,0.0046,-0.0674
343,0.9976,-0.1045,-0.0029
344,1.0115,0.0464,0.0498
345,1.0103,-0.0161,-0.0413
346,0.9978,-0.0103,-0.0173
347,1.0288,0.0278,-0.0205
348,1.0190,0.0020,0.0420
349,1.0593,-0.0491,0.0493
350,1.0447,0.0981,-0.0352
351,0.9800,-0.0364,-0.0188
352,1.0798,-0.0083,0.0383
353,0.9871,0.0234,0.0117
354,0.9819,-0.1147,-0.0898
355,1.0854,-0.0752,0.0713
356,1.0122,0.1716,-0.0637
357,0.9731,-0.1841,0.0198
358,1.1072,0.1624,-0.0457
359,0.9917,-0.0535,0.0767
360,0.9880,-0.0566,0.0916
361,1.0984,0.1082,-0.0400
362,0.8982,-0.0085,0.0051
363,1.0229,-0.0588,0.0344
364,0.9790,0.1062,-0.0298
365,0.9470,-0.1006,-0.0046
366,1.0222,-0.0510,0.0891
367,1.0593,0.0120,-0.0513
368,0.9617,-0.0940,0.0479
369,1.0720,-0.0012,-0.0691
370,0.9878,0.0029,0.0261
371,1.0388,-0.0923,0.0085
372,1.0083,-0.0027,-0.0854
373,1.0688,0.0242,0.0420
374,0.9790,0.0566,0.0337
375,1.0173,-0.0269,0.0264
376,0.9705,-0.0115,0.0461
377,0.9880,-0.0115,-0.0957
378,0.9741,0.0068,0.0518
379,1.1396,-0.0095,0.0798
380,0.9685,-0.0281,-0.0479
381,1.0662,0.0444,0.0632
382,0.9668,-0.0308,-0.0076
383,1.0046,-0.1101,-0.0310
384,1.0300,0.0215,0.0569
385,1.0212,-0.0486,-0.0256
386,1.0974,0.0420,0.0044
387,1.0085,0.1055,-0.0186
388,0.9695,-0.0571,0.0378
389,1.0649,0.0012,0.0454
390,0.9431,-0.0237,0.0244
391,1.0005,-0.0835,0.0337
392,1.1167,0.0471,-0.0142
393,0.9851,0.0610,-0.0464
394,1.0320,-0.0723,0.0215
395,1.0349,-0.0415,0.0476
396,1.0007,-0.0745,-0.1006
397,1.0181,-0.0417,0.0474
398,1.0952,0.1084,-0.0298
399,0.9714,-0.0574,0.0225
400,1.0417,0.0457,-0.0591
401,1.0154,-0.0515,0.1235
402,0.9900,0.0444,0.0012
403,0.9978,-0.0334,-0.0400
404,0.9875,0.0469,0.0012
405,1.0415,-0.0339,0.0017
406,1.0063,-0.0049,-0.0032
407,1.0571,-0.0015,0.0562
408,0.9829,-0.0769,-0.0156
409,1.0593,-0.0496,-0.0039
410,0.9988,0.0330,-0.0317
411,0.9656,-0.0862,-0.0427
412,1.0776,0.0632,0.0178
413,0.9802,-0.0315,-0.0110
414,1.0278,-0.0020,0.0164
415,1.0603,0.0774,0.0901
416,0.9695,-0.0227,-0.0410
417,0.9778,-0.0190,-0.0159
418,1.0493,0.0088,0.0322
419,0.9312,-0.0603,-0.0344
420,1.0327,-0.0156,0.0566
421,1.0229,-0.0046,-0.1138
422,0.9949,-0.0515,0.0115
423,1.1111,0.0139,-0.0090
424,1.0132,-0.1108,0.0669
425,1.0505,0.0981,0.0002
426,1.0535,-0.0491,0.0598
427,1.0054,0.0850,-0.0625
428,0.9995,-0.0457,0.1091
429,0.9763,-0.0437,-0.0535
430,0.9968,-0.0359,0.0022
431,1.0144,0.0195,-0.0559
432,0.9934,-0.0237,0.0435
433,1.1218,0.0510,-0.0005
434,0.9038,-0.0310,-0.0083
435,1.0349,-0.0117,0.0984
436,0.9839,-0.2312,0.0449
437,1.0806,0.0552,-0.2109
438,1.0583,-0.0115,0.0369
439,1.1353,0.0908,0.0964
440,1.0308,0.0432,-0.1284
441,1.0203,-0.0945,0.0337
442,0.9810,0.0317,0.0417
443,1.0254,-0.0115,-0.0161
444,0.9673,-0.0217,-0.1511
445,1.0825,0.0383,0.1313
446,0.9841,-0.0081,-0.0144
447,1.0486,-0.0696,-0.0386
448,0.9949,0.0391,-0.0115
449,1.0349,-0.0847,0.0012
450,1.0649,0.0571,0.0203
451,1.0935,0.0286,0.0784
452,0.9321,-0.0190,0.0171
453,1.0317,-0.0205,0.0017
454,1.0933,-0.0806,-0.0613
455,0.9646,0.0767,-0.0837
456,1.0994,0.0605,0.1221
457,0.9617,-0.0344,-0.0212
458,1.0112,0.0342,0.0154
459,1.0054,-0.0889,0.0146
460,1.0688,0.1023,-0.0183
461,1.0747,0.0886,0.1160
462,0.9519,-0.0737,0.0278
463,1.0454,-0.0508,0.0186
464,1.0083,0.0149,0.0071
465,0.9546,-0.0571,-0.0535
466,1.1384,0.0142,0.0718
467,0.9763,0.0889,-0.0269
468,0.9780,-0.0740,-0.0696
469,1.1028,0.0220,0.0911
470,0.9673,0.0032,-0.0190
471,0.9128,-0.0764,-0.0007
472,1.0940,0.0229,0.0081
473,0.9587,-0.0657,-0.0093
474,0.9978,-0.0288,0.0105
475,1.0991,0.0239,0.0774
476,0.9675,0.0176,-0.0835
477,0.9956,-0.1304,0.0571
478,1.0396,0.0107,0.0171
479,1.0020,-0.0857,0.0168
480,0.9731,0.0095,-0.0466
481,1.0750,-0.0325,-0.0264
