Sample,X,Y,Z
177,0.9478,-0.0803,0.0422
178,1.0952,0.0940,-0.0559
179,1.0640,0.0010,0.1079
180,0.9868,-0.0496,-0.0291
181,1.0103,-0.0151,-0.0537
182,1.1401,0.0051,0.1401
183,0.9751,0.0613,0.0227
184,0.8884,-0.1223,-0.0964
185,1.0691,0.0735,0.0593
186,0.9617,0.0044,-0.0654
187,1.0154,-0.0496,-0.0225
188,1.1326,0.0535,0.1531
189,0.8901,-0.0291,-0.1135
190,1.0662,-0.1301,0.0574
191,1.1521,0.1167,0.1304
192,0.8894,-0.0632,-0.1833
193,1.1167,-0.0015,0.0715
194,1.0691,0.0452,0.0701
195,0.8328,-0.0833,-0.1123
196,1.1841,0.0542,0.1060
197,0.9302,0.0513,0.1128
198,0.9001,-0.0833,-0.1401
199,1.1404,0.0967,0.1316
200,0.9744,-0.0349,0.0686
201,0.8865,-0.0730,0.0750
202,1.1372,0.0481,-0.0066
203,0.9497,-0.0996,-0.0469
204,1.0710,0.0151,0.0264
205,1.0298,0.0701,-0.0542
206,1.0396,-0.1704,-0.0012
207,1.0288,0.1204,-0.0054
208,0.9888,-0.0579,-0.0703
209,1.0955,-0.0574,0.1106
210,0.9939,0.1323,0.0276
211,0.8882,-0.1443,-0.0793
212,1.1704,0.0476,0.1494
213,0.8914,0.0532,-0.1267
214,0.9353,-0.1101,0.0129
215,1.1958,0.1426,0.0498
216,0.8979,-0.1753,-0.0300
217,1.0535,0.0667,-0.1411
218,1.1646,-0.0554,0.1023
219,0.9714,0.0166,-0.0481
220,1.0291,-0.0654,-0.0691
221,1.0564,0.0552,0.0056
222,0.9399,0.0081,0.0095
223,0.8962,-0.0168,0.0339
224,1.0132,0.0286,-0.0078
225,0.9468,-0.0278,0.0222
226,0.9910,-0.0989,0.1472
227,1.0525,0.0806,-0.0400
228,1.0122,-0.0957,0.0662
229,1.0164,0.0898,-0.0942
230,0.9900,-0.0640,0.0513
231,1.1111,-0.0291,-0.0513
232,1.0427,0.0920,-0.0139
233,0.9675,-0.0049,0.0588
234,1.1128,-0.1035,0.0378
235,1.0225,0.0498,-0.0098
236,1.0093,-0.0615,0.0349
237,1.1746,0.0144,0.1475
238,0.8914,0.1641,-0.0459
239,0.9019,-0.1938,-0.0359
240,1.1023,0.0164,0.0986
241,1.0093,0.0803,-0.0256
242,0.9275,-0.1213,-0.0449
243,1.2007,0.1306,0.0708
