Sample,X,Y,Z
177,1.1880,0.0476,0.0627
178,1.0015,-0.0129,-0.1716
179,1.1138,0.0322,0.0608
180,1.1033,0.0405,-0.0955
181,0.9587,-0.1357,-0.0627
182,1.1030,0.0439,0.0740
183,0.9597,0.0330,-0.0864
184,1.0210,0.0408,-0.0193
185,0.9988,-0.0049,0.0203
186,0.9666,-0.0051,0.0471
187,1.0330,0.0042,0.0046
188,1.0212,-0.0115,0.0562
189,0.9634,0.0845,-0.0500
190,1.0005,0.0195,-0.0222
191,1.0251,-0.0850,0.0886
192,0.9751,0.0457,-0.1428
193,1.0310,-0.0381,0.0164
194,1.1111,-0.0139,0.0662
195,1.0015,0.0320,-0.0764
196,0.9841,-0.0166,0.0769
197,1.0825,0.0210,-0.0144
198,1.0349,-0.1477,0.0095
199,1.1218,0.1250,0.1221
200,0.9177,-0.0891,0.0239
201,1.0591,0.0220,-0.0115
202,1.0232,0.0420,-0.1133
203,0.9380,-0.1255,0.0483
204,1.1792,0.0562,0.0684
205,0.9226,-0.0603,-0.0532
206,0.9998,-0.0603,0.0034
207,1.1736,0.0239,0.0427
208,0.9194,0.0305,-0.1624
209,1.1003,-0.0430,0.1497
210,1.0144,-0.0396,0.0251
211,0.9888,-0.0491,-0.1260
212,1.0469,0.0505,0.1333
213,1.0808,-0.0054,0.0603
214,0.8884,0.0012,-0.1921
215,1.0369,-0.0500,0.1184
216,0.9832,0.1030,0.0977
217,0.9058,-0.0339,-0.1790
218,1.0349,0.0132,0.0994
219,0.9399,-0.1499,-0.0081
220,1.0024,0.1516,-0.0488
221,1.1150,-0.0002,0.1169
222,0.9460,-0.0540,-0.0264
223,1.0581,-0.0513,-0.0300
224,1.0662,-0.0288,0.0979
225,1.0583,0.0142,-0.0378
226,1.0640,0.0376,0.0562
227,0.9656,-0.0647,0.0195
228,0.9849,0.0347,0.0159
229,0.9888,-0.1069,-0.0076
230,1.0779,0.1069,-0.0408
231,0.9917,-0.0720,0.0330
232,1.0896,0.0356,0.1201
233,0.9790,-0.0701,-0.0586
234,1.0090,-0.0334,0.0569
235,1.1187,0.0168,0.0754
236,0.9272,-0.1104,-0.1536
237,1.1482,0.0312,0.0696
238,1.0269,-0.0034,0.1011
239,0.9438,0.0134,-0.0757
240,1.0183,-0.0308,0.0134
241,1.0447,-0.0947,0.0549
242,1.0173,0.1938,-0.0576
243,1.0203,-0.1526,0.1218
244,1.0981,0.1338,-0.0073
245,0.8826,-0.1565,-0.0942
246,1.1218,0.1128,0.0806
247,1.0659,-0.0688,-0.0242
248,0.9526,-0.0081,-0.1023
249,1.0864,0.0251,0.0361
250,0.9976,-0.0596,0.0273
251,0.9907,0.0205,0.0842
252,0.9976,-0.0288,-0.0442
253,1.0562,-0.1035,0.1045
254,0.9832,0.1614,-0.0132
