Sample,X,Y,Z
177,1.0776,0.1208,0.0596
178,0.9653,-0.1011,0.0327
179,1.0681,0.0247,-0.0139
180,1.0386,0.0312,-0.0132
181,0.9351,-0.1421,0.0305
182,1.1023,0.0449,-0.0537
183,1.0281,0.1353,0.0261
184,0.8806,-0.0896,-0.1626
185,1.1284,-0.0405,0.0229
186,1.0017,0.1064,-0.1104
187,0.8552,-0.0916,0.0007
188,1.1450,0.0901,0.0527
189,0.8928,-0.1145,-0.1140
190,0.9604,0.0918,-0.0220
191,1.1099,-0.0063,0.1331
192,0.9207,0.0322,-0.1179
193,0.9966,-0.1436,-0.0259
194,1.1335,0.1062,0.1379
195,0.9575,-0.0310,-0.1531
196,1.0378,-0.0862,0.0012
197,1.1531,0.1282,0.0642
198,0.9468,-0.1099,0.0381
199,1.0903,0.0229,0.0059
200,0.9890,-0.0271,0.0754
201,0.9900,-0.1658,0.0342
202,1.1277,0.1311,0.0186
203,0.9614,0.0010,0.0181
204,1.0115,-0.1191,0.0190
205,1.1062,0.0879,-0.0083
206,0.9509,-0.0920,-0.0105
207,1.0427,0.0664,0.0405
208,1.0808,0.0249,-0.0471
209,0.9136,-0.1489,0.0449
210,1.1199,0.1050,-0.0486
211,1.0532,0.0425,0.1567
212,0.9819,-0.0444,0.0024
213,0.9814,-0.0718,-0.0291
214,1.0845,0.0161,0.1245
215,0.9722,0.0461,-0.0051
216,0.9431,-0.0540,-0.0469
217,1.0601,-0.0256,0.1030
218,0.9851,-0.0244,-0.0730
219,0.9829,0.0105,0.0200
220,1.0798,0.0449,-0.0312
221,0.9753,-0.1519,0.0242
222,1.0415,0.1340,-0.0200
223,1.0066,-0.1914,0.0862
224,1.0542,0.0991,-0.0176
225,0.9822,-0.0676,0.0466
226,1.0466,-0.0593,0.0393
227,1.0789,0.0747,0.0022
228,0.9644,-0.0974,0.0610
229,1.0562,0.0674,-0.1067
230,0.9724,-0.1047,0.0547
231,0.9927,0.0586,0.0085
232,0.9119,-0.0789,-0.1392
233,1.1130,0.0254,0.0190
234,1.0662,0.0078,-0.0369
235,0.9116,0.0581,-0.0432
236,1.1235,-0.1514,0.2383
237,0.8894,-0.0344,-0.1372
238,1.0544,-0.0210,-0.0771
239,1.1450,0.1433,0.1831
240,0.9258,-0.0022,-0.1389
241,0.9155,-0.1216,-0.0601
242,1.1287,-0.0095,0.1321
243,0.9617,0.1226,-0.1326
244,0.9443,-0.1331,-0.0847
245,1.1841,0.1292,0.0852
246,0.7937,-0.1011,-0.2583
247,1.1042,0.0330,0.1179
248,1.0767,0.0251,-0.0537
249,0.8748,-0.1497,-0.0977
250,1.2563,0.0027,0.0825
251,1.0071,0.1055,-0.0071
252,0.8989,-0.1011,-0.1460
253,1.0750,-0.0210,0.0725
254,1.0229,-0.0210,-0.0046
255,0.9810,-0.0215,-0.0857
256,1.1833,0.0867,0.1233
257,0.8774,-0.1892,-0.0554
258,0.9968,0.0532,-0.0176
259,1.0847,0.0452,-0.0557
260,0.9868,0.0757,-0.0034
261,1.0610,-0.0725,0.0000
262,0.9731,0.0020,-0.0452
263,1.0249,-0.1660,0.0461
