Sample,X,Y,Z
614,0.9666,-0.0134,-0.0137
615,1.1677,0.0239,0.1658
616,0.8799,-0.0146,-0.0569
617,1.0583,-0.1653,0.0300
618,1.1772,0.1594,0.1150
619,0.8962,-0.0513,-0.0640
620,1.0291,-0.0024,-0.0027
621,1.1265,0.0142,0.2124
622,0.7827,0.0344,-0.0999
623,1.0601,-0.0779,0.0315
624,1.1011,0.0723,0.2266
625,0.7751,-0.0840,-0.1743
626,1.1326,-0.0063,0.0740
627,1.2351,0.0815,0.1433
628,0.7515,-0.1045,-0.1697
629,1.1912,0.0439,0.1482
630,1.1189,0.0596,0.0366
631,0.8569,-0.1250,-0.0967
632,1.2036,0.1458,0.2480
633,1.0066,-0.0593,0.0215
634,0.8501,-0.0725,-0.0061
635,1.1140,0.0435,0.0964
636,1.0203,-0.0439,0.0076
637,1.0474,-0.0078,0.0752
638,1.0144,0.0850,0.0583
639,1.0415,-0.1968,0.0857
640,1.0562,0.1394,-0.0198
641,1.0251,-0.1174,-0.0684
642,1.2107,0.1108,0.0374
643,0.9949,0.0220,0.0608
644,0.9517,-0.2380,0.0635
645,1.2390,0.1675,-0.0801
646,0.9204,-0.0193,0.0139
647,1.0571,-0.1375,0.1099
648,1.0552,0.1313,-0.0930
649,0.9399,-0.2437,0.0071
650,1.0730,0.2087,0.0088
651,0.9753,0.0344,-0.1069
652,0.9028,-0.1428,0.0144
653,1.0747,0.0642,-0.0640
654,1.0259,-0.0452,0.0791
655,1.0806,-0.0300,-0.0393
656,1.0630,0.1055,-0.1113
657,0.9197,-0.0664,0.0378
658,1.0151,0.0603,0.0093
659,0.9724,-0.0188,-0.0513
660,1.0144,-0.0659,0.1599
661,1.0310,0.0630,-0.0024
662,1.0554,-0.0720,0.0234
663,0.9773,0.0388,0.0352
664,0.9272,-0.0447,0.0071
665,1.1218,0.0933,0.0298
666,0.8862,-0.0535,-0.1179
667,1.0508,-0.0271,0.1465
668,1.1482,0.0432,0.0662
669,0.8755,-0.0786,-0.1516
670,1.1042,-0.0562,0.0879
671,1.2068,0.0571,0.1465
672,0.7886,-0.0461,-0.1765
673,1.0923,-0.0403,0.0874
674,1.0669,0.0625,0.1675
675,0.7632,-0.0059,-0.1543
676,1.1375,-0.0886,0.1765
677,1.0515,0.2319,0.0457
678,0.7341,-0.1936,-0.1128
679,1.2026,0.1377,0.2310
680,1.0044,-0.0974,0.0452
