RepRapFirmware height map file v2 generated at 2025-10-15 21:31, min error -0.076, max error 0.499, mean 0.213, deviation 0.152
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,0.00,205.00,20.00,190.00,-1.00,41.00,34.00,6,6
      0,      0,      0,      0,      0,      0
  0.344,  0.294,  0.499,  0.477,  0.372,  0.060
  0.230,  0.174,  0.323,  0.351,  0.360,  0.090
 -0.010,  0.156,  0.284,  0.403,  0.276,  0.014
  0.227,  0.181,  0.095,  0.332,  0.230, -0.021
 -0.052,  0.179,  0.283,  0.229,  0.099, -0.076
